Robert B  Semple,Baptist General Convention,Member
Howard Maloom,Baptist General Convention,Member
Heman Lincoln,Baptist General Convention,Member
Thomas B  Ripley,Baptist General Convention,Member
Lucius Bolles,Baptist General Convention,Member
Daniel Sharp,Baptist General Convention,Member
William Staughton,Baptist General Convention,Member
Jonathan Going,Baptist General Convention,Member
H  Lincoln,Baptist General Convention,Member
J D  Knowles,Baptist General Convention,Member
G  F  Davis,Baptist General Convention,Member
Bela Jacobs,Baptist General Convention,Member
Abiel Fisher,Baptist General Convention,Member
F  Wayland Jr ,Baptist General Convention,Member
Irah Chase,Baptist General Convention,Member
Stephen Gano,Baptist General Convention,Member
James Loring,Baptist General Convention,Member
B  C  Grafton,Baptist General Convention,Member
Henry Jackson,Baptist General Convention,Member
Jonathan Bacheller,Baptist General Convention,Member
Levi Farwell,Baptist General Convention,Member
Joseph W  Sawyer,Baptist General Convention,Member
Jonathan Merriam,Baptist General Convention,Member
John Conant,Baptist General Convention,Member
David Benedict,Baptist General Convention,Member
William Gammell,Baptist General Convention,Member
Asa Wilcox,Baptist General Convention,Member
S  H  Cone,Baptist General Convention,Member
J  C  Murphy,Baptist General Convention,Member
R  Thompson,Baptist General Convention,Member
William Colgate,Baptist General Convention,Member
Archibald Maclay,Baptist General Convention,Member
Aaron Perkins,Baptist General Convention,Member
Thomas Stokes,Baptist General Convention,Member
Samuel W  Lynd,Baptist General Convention,Member
Daniel Haskell,Baptist General Convention,Member
Elon Galuska,Baptist General Convention,Member
Daniel Putnam,Baptist General Convention,Member
H  Malcom,Baptist General Convention,Member
John Stanford,Baptist General Convention,Member
Thomas Garniss,Baptist General Convention,Member
Thomas Purser,Baptist General Convention,Member
Joshua Gilbert,Baptist General Convention,Member
Charles G  Sommers,Baptist General Convention,Member
William C  Hawley,Baptist General Convention,Member
Rufus Babcock,Baptist General Convention,Member
Nathaniel Kendrick,Baptist General Convention,Member
Lewis Leonard,Baptist General Convention,Member
Stephen Olmsted,Baptist General Convention,Member
Thomas Brown,Baptist General Convention,Member
James E  Welch,Baptist General Convention,Member
Samuel Eastman,Baptist General Convention,Member
John M  Peck,Baptist General Convention,Member
John L  Dagg,Baptist General Convention,Member
David Jones,Baptist General Convention,Member
William E  Ashton,Baptist General Convention,Member
Joseph Maylin,Baptist General Convention,Member
O  B  Brown,Baptist General Convention,Member
G  S  Webb,Baptist General Convention,Member
Isaac Clark,Baptist General Convention,Member
Samuel Cornelius,Baptist General Convention,Member
Luther Rice,Baptist General Convention,Member
Joseph Thaw,Baptist General Convention,Member
William Ruggles,Baptist General Convention,Member
George Patterson,Baptist General Convention,Member
Enoch Reynolds,Baptist General Convention,Member
Robert Ryland,Baptist General Convention,Member
Robert B  Semple,Baptist General Convention,Member
John Kerr,Baptist General Convention,Member
William Crane,Baptist General Convention,Member
Eli Ball,Baptist General Convention,Member
H  C  Thompson,Baptist General Convention,Member
Noah Davis,Baptist General Convention,Member
Joseph B  Cook,Baptist General Convention,Member
William B  Johnson,Baptist General Convention,Member
Charles D  Mallory,Baptist General Convention,Member
James Graham,Baptist General Convention,Member
Jesse Mercer,Baptist General Convention,Member
William T  Brantley,Baptist General Convention,Member
Adiel Sherwood,Baptist General Convention,Member
Abner Davis,Baptist General Convention,Member
