Name,Organization,Year Elected,Status,State
Thomas Baldwin,Baptist General Convention,1820,Member,MA
Asahel Morse,Baptist General Convention,1820,Member,CT
John Williams,Baptist General Convention,1820,Member,NY
Archibald Mackay,Baptist General Convention,1820,Member,NY
John Cauldwell,Baptist General Convention,1820,Member,NY
Thomas Stokes,Baptist General Convention,1820,Member,NY
John Finlay,Baptist General Convention,1820,Member,NY
Lewis Leonard,Baptist General Convention,1820,Member,NY
Elon Gausha,Baptist General Convention,1820,Member,NY
Joel W. Clark,Baptist General Convention,1820,Member,NY
John Peck,Baptist General Convention,1820,Member,NY
Thomas Brown,Baptist General Convention,1820,Member,NJ
David Jones,Baptist General Convention,1820,Member,NJ
Burgiss Allison,Baptist General Convention,1820,Member,NJ
Joseph Kenard,Baptist General Convention,1820,Member,NJ
William Staughton,Baptist General Convention,1820,Member,PA
William Britton,Baptist General Convention,1820,Member,PA
Joshua P. Slack,Baptist General Convention,1820,Member,PA
William E. Aston,Baptist General Convention,1820,Member,PA
Ira Chase,Baptist General Convention,1820,Member,PA
Joseph Maylin,Baptist General Convention,1820,Member,PA
James McLaughin,Baptist General Convention,1820,Member,PA
Joseph Taylor,Baptist General Convention,1820,Member,PA
John P. Peekworth,Baptist General Convention,1820,Member,PA
Thomas Griffin,Baptist General Convention,1820,Member,PA
John Walker,Baptist General Convention,1820,Member,PA
Joseph K. Hillegas,Baptist General Convention,1820,Member,PA
Horatio G. Jones,Baptist General Convention,1820,Member,PA
George F. Curwen,Baptist General Convention,1820,Member,PA
Thomas Robert,Baptist General Convention,1820,Member,PA
Silas Hough,Baptist General Convention,1820,Member,PA
Joseph Matthias,Baptist General Convention,1820,Member,PA
Samuel R. Greene,Baptist General Convention,1820,Member,DE
Joseph G. Jones,Baptist General Convention,1820,Member,MD
John Healy,Baptist General Convention,1820,Member,MD
Enoch Reynolds,Baptist General Convention,1820,Member,DC
Joseph Thaw,Baptist General Convention,1820,Member,DC
Obidiah B. Brown,Baptist General Convention,1820,Member,DC
Luther Rice,Baptist General Convention,1820,Member,DC
Joseph Gibson,Baptist General Convention,1820,Member,DC
Thomas Barton,Baptist General Convention,1820,Member,DC
Spencer H. Cone,Baptist General Convention,1820,Member,DC
Robert B. Semple,Baptist General Convention,1820,Member,VA
John Bryce,Baptist General Convention,1820,Member,VA
Samuel L. Straughan,Baptist General Convention,1820,Member,VA
David Roper,Baptist General Convention,1820,Member,VA
William Crane,Baptist General Convention,1820,Member,VA
John Eaton,Baptist General Convention,1820,Member,VA
James Mitchell,Baptist General Convention,1820,Member,VA
Sanuel Cornelius,Baptist General Convention,1820,Member,VA
Absalom Waller,Baptist General Convention,1820,Member,VA
William James,Baptist General Convention,1820,Member,VA
Abner Watkins,Baptist General Convention,1820,Member,VA
Sterling Smith,Baptist General Convention,1820,Member,VA
Edward Baptist,Baptist General Convention,1820,Member,VA
George C. Sedwick,Baptist General Convention,1820,Member,VA
Edward G. Ship,Baptist General Convention,1820,Member,VA
Daniel Davis,Baptist General Convention,1820,Member,VA
John Goss,Baptist General Convention,1820,Member,VA
William Fristoe,Baptist General Convention,1820,Member,VA
Thornton Stringfellow,Baptist General Convention,1820,Member,VA
George Richardson,Baptist General Convention,1820,Member,VA
Richard Dabbs,Baptist General Convention,1820,Member,VA
Benjamin Watkins,Baptist General Convention,1820,Member,VA
John Wooldridge,Baptist General Convention,1820,Member,VA
James Fife,Baptist General Convention,1820,Member,VA
James G. Jeffries,Baptist General Convention,1820,Member,NC
Edward Baptist,Baptist General Convention,1820,Member,NC
Martin Ross,Baptist General Convention,1820,Member,NC
Thomas Meredith,Baptist General Convention,1820,Member,NC
Richard Furman,Baptist General Convention,1820,Member,SC
William Dossey,Baptist General Convention,1820,Member,SC
Jesse Merver,Baptist General Convention,1820,Member,GA
Elijah Moseley,Baptist General Convention,1820,Member,GA
George Evans,Baptist General Convention,1820,Member,KY
Jacob Creath,Baptist General Convention,1820,Member,KY
R. M. Johnson,Baptist General Convention,1820,Member,KY
Silas M. Noel,Baptist General Convention,1820,Member,KY
Luther Rice,Baptist General Convention,1820,Member,MS
James A. Ranaldson,Baptist General Convention,1820,Member,MS
