Name,Organization,Year Elected,Status
Robert B  Semple,Baptist General Convention,1826,Member
Howard Maloom,Baptist General Convention,1826,Member
Heman Lincoln,Baptist General Convention,1826,Member
Thomas B  Ripley,Baptist General Convention,1826,Member
Lucius Bolles,Baptist General Convention,1826,Member
Daniel Sharp,Baptist General Convention,1826,Member
William Staughton,Baptist General Convention,1826,Member
Jonathan Going,Baptist General Convention,1826,Member
H  Lincoln,Baptist General Convention,1826,Member
J D  Knowles,Baptist General Convention,1826,Member
G  F  Davis,Baptist General Convention,1826,Member
Bela Jacobs,Baptist General Convention,1826,Member
Abiel Fisher,Baptist General Convention,1826,Member
F  Wayland Jr ,Baptist General Convention,1826,Member
Irah Chase,Baptist General Convention,1826,Member
Stephen Gano,Baptist General Convention,1826,Member
James Loring,Baptist General Convention,1826,Member
B  C  Grafton,Baptist General Convention,1826,Member
Henry Jackson,Baptist General Convention,1826,Member
Jonathan Bacheller,Baptist General Convention,1826,Member
Levi Farwell,Baptist General Convention,1826,Member
Joseph W  Sawyer,Baptist General Convention,1826,Member
Jonathan Merriam,Baptist General Convention,1826,Member
John Conant,Baptist General Convention,1826,Member
David Benedict,Baptist General Convention,1826,Member
William Gammell,Baptist General Convention,1826,Member
Asa Wilcox,Baptist General Convention,1826,Member
S  H  Cone,Baptist General Convention,1826,Member
J  C  Murphy,Baptist General Convention,1826,Member
R  Thompson,Baptist General Convention,1826,Member
William Colgate,Baptist General Convention,1826,Member
Archibald Maclay,Baptist General Convention,1826,Member
Aaron Perkins,Baptist General Convention,1826,Member
Thomas Stokes,Baptist General Convention,1826,Member
Samuel W  Lynd,Baptist General Convention,1826,Member
Daniel Haskell,Baptist General Convention,1826,Member
Elon Galuska,Baptist General Convention,1826,Member
Daniel Putnam,Baptist General Convention,1826,Member
H  Malcom,Baptist General Convention,1826,Member
John Stanford,Baptist General Convention,1826,Member
Thomas Garniss,Baptist General Convention,1826,Member
Thomas Purser,Baptist General Convention,1826,Member
Joshua Gilbert,Baptist General Convention,1826,Member
Charles G  Sommers,Baptist General Convention,1826,Member
William C  Hawley,Baptist General Convention,1826,Member
Rufus Babcock,Baptist General Convention,1826,Member
Nathaniel Kendrick,Baptist General Convention,1826,Member
Lewis Leonard,Baptist General Convention,1826,Member
Stephen Olmsted,Baptist General Convention,1826,Member
Thomas Brown,Baptist General Convention,1826,Member
James E  Welch,Baptist General Convention,1826,Member
Samuel Eastman,Baptist General Convention,1826,Member
John M  Peck,Baptist General Convention,1826,Member
John L  Dagg,Baptist General Convention,1826,Member
David Jones,Baptist General Convention,1826,Member
William E  Ashton,Baptist General Convention,1826,Member
Joseph Maylin,Baptist General Convention,1826,Member
O  B  Brown,Baptist General Convention,1826,Member
G  S  Webb,Baptist General Convention,1826,Member
Isaac Clark,Baptist General Convention,1826,Member
Samuel Cornelius,Baptist General Convention,1826,Member
Luther Rice,Baptist General Convention,1826,Member
Joseph Thaw,Baptist General Convention,1826,Member
William Ruggles,Baptist General Convention,1826,Member
George Patterson,Baptist General Convention,1826,Member
Enoch Reynolds,Baptist General Convention,1826,Member
Robert Ryland,Baptist General Convention,1826,Member
Robert B  Semple,Baptist General Convention,1826,Member
John Kerr,Baptist General Convention,1826,Member
William Crane,Baptist General Convention,1826,Member
Eli Ball,Baptist General Convention,1826,Member
H  C  Thompson,Baptist General Convention,1826,Member
Noah Davis,Baptist General Convention,1826,Member
Joseph B  Cook,Baptist General Convention,1826,Member
William B  Johnson,Baptist General Convention,1826,Member
Charles D  Mallory,Baptist General Convention,1826,Member
James Graham,Baptist General Convention,1826,Member
Jesse Mercer,Baptist General Convention,1826,Member
William T  Brantley,Baptist General Convention,1826,Member
Adiel Sherwood,Baptist General Convention,1826,Member
Abner Davis,Baptist General Convention,1826,Member
