Name,Organization,Year,Status
E. R. Baudoine,Lyceum of Natural History,1817,Member
James Clements,Lyceum of Natural History,1817,Member
Francis Morton,Lyceum of Natural History,1817,Member
Jacob Dyckman,Lyceum of Natural History,1817,Member
William S. Irving,Lyceum of Natural History,1817,Member
Benjamin U. Coles,Lyceum of Natural History,1817,Member
J.S. Watkins,Lyceum of Natural History,1817,Member
Samuel L. Mitchill,Lyceum of Natural History,1817,Member
Nathaniel Paulding,Lyceum of Natural History,1817,Member
William Cooper,Lyceum of Natural History,1817,Member
William Cumberland,Lyceum of Natural History,1817,Member
John Torrey,Lyceum of Natural History,1817,Member
John B. Beck,Lyceum of Natural History,1817,Member
P.S. Townsend,Lyceum of Natural History,1817,Member
John W. Francis,Lyceum of Natural History,1817,Member
J. Le Counte,Lyceum of Natural History,1817,Member
William Swift,Lyceum of Natural History,1817,Member
F.C. Shaeffer,Lyceum of Natural History,1817,Member
B.p. Kissam,Lyceum of Natural History,1817,Member
John Anthon,Lyceum of Natural History,1817,Member
Henry Gahn,Lyceum of Natural History,1817,Member
Samuel Akerly,Lyceum of Natural History,1817,Member
John Watts,Lyceum of Natural History,1818,Member
O. Bronson,Lyceum of Natural History,1818,Member
Abraham Halsey,Lyceum of Natural History,1818,Member
Gulian C. Verplanck,Lyceum of Natural History,1818,Member
James E. De Kay,Lyceum of Natural History,1819,Member
D. H. Barnes,Lyceum of Natural History,1819,Member
B.R Greenland,Lyceum of Natural History,1817,Member
Lewis C. Beck,Lyceum of Natural History,1817,Member
J. Roane,Lyceum of Natural History,1817,Member
Thomas Harris,Lyceum of Natural History,1817,Member
Constantine Samuel Rafinesque,Lyceum of Natural History,1817,Member
D.B. Douglass,Lyceum of Natural History,1817,Member
John P. Brace,Lyceum of Natural History,1817,Member
D.C. Verplanck,Lyceum of Natural History,1817,Member
Ebenezer Kellogg,Lyceum of Natural History,1817,Member
John Bradbury,Lyceum of Natural History,1817,Member
Caleb Atwater,Lyceum of Natural History,1817,Member
R.B. Owen,Lyceum of Natural History,1817,Member
T. Romeyn,Lyceum of Natural History,1817,Member
Amos Eaton,Lyceum of Natural History,1817,Member
Chester Dewey,Lyceum of Natural History,1817,Member
J. De la Motta,Lyceum of Natural History,1817,Member
Professor Del Rio,Lyceum of Natural History,1817,Member
J.J. Robertson,Lyceum of Natural History,1817,Member
Moses Hale,Lyceum of Natural History,1818,Member
Felix L'Herminier,Lyceum of Natural History,1818,Member
Eli Burrill,Lyceum of Natural History,1818,Member
Jacob Porter,Lyceum of Natural History,1818,Member
J.W. Webster,Lyceum of Natural History,1819,Member
Henry R. Schoolcraft,Lyceum of Natural History,1819,Member
Joseph Correa de Serra,Lyceum of Natural History,1817,Member
Thomas Jefferson,Lyceum of Natural History,1817,Member
Professor H. Castrom,Lyceum of Natural History,1817,Member
Professor Somme,Lyceum of Natural History,1817,Member
Zaccheus Collins,Lyceum of Natural History,1817,Member
Joseph G. Swift,Lyceum of Natural History,1817,Member
William J. Macneven,Lyceum of Natural History,1817,Member
Bracy Clark,Lyceum of Natural History,1817,Member
Stephen Elliott,Lyceum of Natural History,1817,Member
C.A. Lesueur,Lyceum of Natural History,1817,Member
Jacob Bigelow,Lyceum of Natural History,1817,Member
James Edward Smith,Lyceum of Natural History,1817,Member
Jamies Monroe,Lyceum of Natural History,1817,Member
Aug. Pyr. De Candolle,Lyceum of Natural History,1817,Member
Gaetano Savi,Lyceum of Natural History,1817,Member
Robert Brown,Lyceum of Natural History,1817,Member
Hoffman Bang,Lyceum of Natural History,1817,Member
Charles Willson Peale,Lyceum of Natural History,1817,Member
Aylmer Bourke Lambert,Lyceum of Natural History,1817,Member
Abbe Hauy,Lyceum of Natural History,1817,Member
G.C. Knapp,Lyceum of Natural History,1817,Member
Stephen Harriman Long,Lyceum of Natural History,1817,Member
Baron Bivona,Lyceum of Natural History,1817,Member
De Witt Clinton,Lyceum of Natural History,1818,Member
David Hosack,Lyceum of Natural History,1818,Member
Benjamin Silliman,Lyceum of Natural History,1819,Member
Jules Cloquet,Lyceum of Natural History,1819,Member
Parker Cleaveland,Lyceum of Natural History,1819,Member
