Name,year started,year ended,City,State,type,,,,,
Gorham Dummer Abbot,1853,1860,New York,NY,o,,,,,
Samuel Leonard Abbott,1848,1854,Boston,MA,O,,,,,
William Abernethy,1849,1854,Oregon City,CA,O,,,,,
John James Abert,1848,1859,Washington,DC,O,,,,,
Woodward Abrahams,1858,1858,Baltimore,MD,O,,,,,
John G. Adams,1848,1851,New York,NY,O,,,,,
Pentegast Adams,1848,1851,Jefferson County,NY,O,,,,,
Solomon Adams,1848,"1,854",Boston ,MA,O,,,inactive 1850-1851,,
William Adamson,1853,1855,Cambridge,MA,O,,,,,
William Aiken,1850,1854,Charleston ,SC,O,,,,,
J. G. Ainsworth,1860,,Barry,MA,O,,,,,
Augustus J. Albert,1858,,Baltimore,MD,O,,,,,
John Adams Albro,1849,1851,Cambridge,MA,O,,,,,
Joseph H. Alexander,1854,1854,Baltimore,MD,O,,,,,
R. C. Alexander,1849,1854,Bath,England,O,,,,,
Edward A. H. Allen,1851,,New Bedford,MA,O,,,,,
George N. Allen,1851,1857,Oberlin,OH,O,,,,,
Ira M. Allen,1848,1851,New York,NY,O,,,,,
J. Burnet Allen,1849,1854,Springfield,MA,O,,,,,
J. L. Allen,1848,1851,New York,NY,O,,,,,
Jerome Allen,1856,1856,Dubuque,Iowa,O,,,,,
John H. Allen,1851,1858,Oxford,MD,O,,,,,
Nathaniel T. Allen,1856,1859,West Newton,MA,O,,,,,
Richard Lamb Allen,1856,1859,Saratoga Springs,NY,O,,,,,
Robert F.W. Allston,1850,1860,Georgetown ,SC,O,,,,,inactive1850-1851
Robert Allyn,1855,1857,East Greenwich,RI,O,,,,,
David Alter,1853,1853,Freeport ,PA,O,,,,,
Daniel W. Alvord,1848,1850,Greenfield,MA,O,,,,,
Bernice D. Ames,1856,1858,Fort Edward,NY,O,,,,,
Nathaniel Peabody Ames,1848,1848,Springfield,MA,O,,,,,Deceased AAGN member
Jonathan Amory,1854,1857,Jamaica Plain,MA,O,,,,,
William Anderson,1857,1857,Montreal,Canada,O,,,,,
Alonzo Andrews,1853,1859,Lewiston,ME,O,,,,,
E. H. Andrews,1850,1858,Charlotte,NC,O,,,,,inactive 1854-1856
Edmund Andrews,1853,1855,Ann Arbor,MI,O,,,,,
J. W. Andrews,1850,1854,Marietta,OH,O,,,,,
Joel W. Andrews,1851,1854,Albany,NY,O,,,,,
James Burrill Angell,1855,1856,Providence,RI,O,,,,,
Charles H. Anthony,1851,1860,Albany,NY,O,,,,,
Henry Bowen Anthony,1854,,Providence,RI,O,,,,,
Nathan Appleton,1848,,Boston,MA,O,,,,,
Thomas Gold Appleton,1854,1859,Cambridge,MA,O,,,,,
Thomas B. Arden,1853,1858,Putnam County,NY,O,,,,,
A. H. Armour,1856,1859,Toronto ,Canada,O,,,,,
John H. Armsby,1851,1859,Albany,NY,O,,,,,
Samuel Ashmead,1848,1854,Philadelphia,PA,O,,,,,
R. F. Astrop,1853,1859,Burns County,VA,O,,,,,
Robert Atkinson,1858,,Baltimore ,MD,O,,,,,
T. C. Atkinson,1848,1854,Cumberland ,MD,O,,,,,
Washington Lemuel Atlee,1848,1851,Lancaster ,PA,O,,,,,
"John G, Atterbury",1857,1860,New Albany,IN,O,,,,,
Samuel Austin,1855,1858,Providence,RI,O,,,,,
William W. Austin,1853,1853,Richmond,IN,O,,,,,
Charles A. Avery,1851,,Schenectady,NY,O,,,,,inactive 1854-1859
G. Baby,1857,1859,Montreal,Canada,O,,,,,
H. Bachmeister,1849,1851,Schenectady,NY,O,,,,,
Austin Bacon,1853,1853,Natick,MA,O,,,,,
J. S. Bacon,1848,1855,Washington,DC,O,,,,,
John Bacon,1848,,Boston,MA,O,,,,,
William M. Bacon,1853,1858,Richmond,MA,O,,,,,
William Baer,1854,1857,Sykesville ,MD,O,,,,,
Moses M. Bagg,1850,1860,Utica,NY,O,,,,,
Thomas D. Baird,1851,1860,Baltimore ,MD,O,,,,,inactive 1854-1858
Eben Baker,1848,1851,Charleston ,SC,O,,,,,
Robert Bakewell,1848,1854,New  Haven,CT,O,,,,,
A. S. Baldon,1857,1857,Jacksonville,FL,O,,,,,
F.H. Baldwin,1856,1860,Waverly,NY,O,,,,,
William Baldwin,1853,1854,Platte City,MO,O,,,,,
Rev. Canon Bancroft,1857,1857,Montreal,Canada,O,,,,,
Henry Bannister,1851,1854,Cazenovia,NY,O,,,,,
William J. Barbee,1851,1854,Jacksonville,MS,O,,,,,
Edgar A. Barber,1856,1859,Albany,NY,O,,,,,
Isaac R. Barber,1848,1851,Worcester,MA,O,,,,,
J. R. Barbour,1848,1851,Worcester,MA,O,,,,,
F. W. Bardwell,1859,,Yellow Springs ,OH,O,,,,,
George Frederick Barker,1859,,Boston,MA,O,,,,,
Sanford Barker,1850,1854,Charleston ,SC,O,,,,,
Thomas Barlow,1853,,Canastota,NY,O,,,,,
Henry Barnard,1850,,Madison,WI,O,,,,,inactive 1854-1858
John Ross Barnard,1860,,Washington,DC,O,,,,,
James Barnes,1850,,Springfield,MA,O,,,,,
James Barnston1856,1856,1859,Montreal,Canada,O,,,,,
John P Barratt,1849,1857,Barrattsville,SC,O,,,,,
Joseph Barratt,1848,,Middletown,CT,O,,,,,inactive1850-1859
George B. Barrows,1853,1858,Fryeburg,ME,O,,,,,inactive1854-1857
L. F. Barry,1858,1860,Baltimore,MD,O,,,,,
John Russell Bartlett,1854,1858,Providence,RI,O,,,,,
E. H. Barton ,1855,1858,New Orleans,LA,O,,,,,
William Barton,1851,1854,Troy,NY,O,,,,,
J. H. Baudry,1857,1859,Montreal,Canada,O,,,,,
James Bayliss,1857,1857,Montreal,Canada,O,,,,,
E. R. Beadle,1856,,Hartford,CT,O,,,,,
Edward L. Beadle,1848,1854,New York,NY,O,,,,,
James Beale,1857,1857,Richmond,VA,O,,,,,
Sidney A. Bean,1855,1857,Waukesha,WI,O,,,,,
H. C. Beardsley,1848,1851,Painesville,OH,O,,,,,
Rufus G. Beardsley,1851,1854,Albany,NY,O,,,,,
M. S. Bebb,1859,,Rockford ,IL,O,,,,,
C. F. Beck,1848,,Philadelphia,PA,O,,,,,
George Belknap,,1854,Boston,MA,O,,,,,
Henry Belknap,1849,1854,Boston,MA,O,,,,,
