J. J. Abert,Academy of Natural Sciences,1823,Member,Resident
N. S. Allison,Academy of Natural Sciences,1813,Member,Resident
John Barnes,Academy of Natural Sciences,1812,Member,Resident
Edward Barton,Academy of Natural Sciences,1815,Member,Resident
Charles N. Bancker,Academy of Natural Sciences,1824,Member,Resident
Alexander Dallas Bache,Academy of Natural Sciences,1829,Member,Resident
James N. Barker,Academy of Natural Sciences,1834,Member,Resident
Charles Frederick Beck,Academy of Natural Sciences,1827,Member,Resident
Thomas Forest Betton,Academy of Natural Sciences,1828,Member,Resident
Baron de Behr,Academy of Natural Sciences,1836,Member,Resident
Nicholas Biddle,Academy of Natural Sciences,1818,Member,Resident
Edward C. Biddle,Academy of Natural Sciences,1834,Member,Resident
William Y. Birch,Academy of Natural Sciences,1823,Member,Resident
William N. Bispham,Academy of Natural Sciences,1834,Member,Resident
William Blanding,Academy of Natural Sciences,1831,Member,Resident
Charles Lucian Bonaparte,Academy of Natural Sciences,1824,Member,Resident
George T. Bowen,Academy of Natural Sciences,1822,Member,Resident
Conrad R. Boyer,Academy of Natural Sciences,1836,Member,Resident
Thomas Latimer Bowie,Academy of Natural Sciences,1836,Member,Resident
Moses Brown,Academy of Natural Sciences,1817,Member,Resident
Henry Bond,Academy of Natural Sciences,1830,Member,Resident
John M. Brewer,Academy of Natural Sciences,1824,Member,Resident
James Bryan,Academy of Natural Sciences,1834,Member,Resident
Robert Bridges,Academy of Natural Sciences,1835,Member,Resident
M. Burrough,Academy of Natural Sciences,1830,Member,Resident
Caleb Carmalt,Academy of Natural Sciences,1817,Member,Resident
George W. Carpenter,Academy of Natural Sciences,1825,Member,Resident
Joseph Carson,Academy of Natural Sciences,1833,Member,Resident
A. D. Chaloner,Academy of Natural Sciences,1836,Member,Resident
Heber Chase,Academy of Natural Sciences,1836,Member,Resident
Edward Clark,Academy of Natural Sciences,1816,Member,Resident
J. Y. Clark,Academy of Natural Sciences,1826,Member,Resident
Cleaver,Academy of Natural Sciences,1817,Member,Resident
Benjamin H. Coates,Academy of Natural Sciences,1815,Member,Resident
Reynell Coates,Academy of Natural Sciences,1830,Member,Resident
Solomon W. Conrad,Academy of Natural Sciences,1826,Member,Resident
Timothy Abbot Conrad,Academy of Natural Sciences,1831,Member,Resident
Joseph Correa de Serra,Academy of Natural Sciences,1814,Member,Resident
Zaccheus Collins,Academy of Natural Sciences,1815,Member,Resident
Rudolph Deitz,Academy of Natural Sciences,1821,Member,Resident
Judah Dobson,Academy of Natural Sciences,1833,Member,Resident
Edmund Draper,Academy of Natural Sciences,1834,Member,Resident
J. H. Dulles,Academy of Natural Sciences,1816,Member,Resident
Nathan Dunn,Academy of Natural Sciences,1831,Member,Resident
John Eberle,Academy of Natural Sciences,1819,Member,Resident
Frederick S. Eckard,Academy of Natural Sciences,1836,Member,Resident
Levi Ellmaker,Academy of Natural Sciences,1829,Member,Resident
Alfred Langdon Elwyn,Academy of Natural Sciences,1831,Member,Resident
Joseph Fisher,Academy of Natural Sciences,1821,Member,Resident
Thomas Fisher,Academy of Natural Sciences,1824,Member,Resident
J. K. Finley,Academy of Natural Sciences,1828,Member,Resident
Thomas Fletcher,Academy of Natural Sciences,1836,Member,Resident
William Augustus Foster,Academy of Natural Sciences,1833,Member,Resident
Hudson S. Foster,Academy of Natural Sciences,1834,Member,Resident
George Fox,Academy of Natural Sciences,1836,Member,Resident
Robert Frazer,Academy of Natural Sciences,1814,Member,Resident
John F. Frazer,Academy of Natural Sciences,1835,Member,Resident
W. W. Gerhard,Academy of Natural Sciences,1835,Member,Resident
Jacob Gilliams,Academy of Natural Sciences,1812,Member,Resident
William P. Gibbons,Academy of Natural Sciences,1833,Member,Resident
