Name,Organization,Year Elected,Status,Residency
Thomas Bacon,American Philosophical Society,1768,Member,Resident
Lynford Lardner,American Philosophical Society,1768,Member,Resident
Arthur Lee,American Philosophical Society,1768,Member,Resident
Francis L. Lee,American Philosophical Society,1768,Member,Resident
Samuel Bowen,American Philosophical Society,1769,Member,Resident
Richard Brooke,American Philosophical Society,1769,Member,Resident
Landon Carter,American Philosophical Society,1769,Member,Resident
Daniel Clark,American Philosophical Society,1769,Member,Resident
Myles Cooper,American Philosophical Society,1769,Member,Resident
John Jones,American Philosophical Society,1769,Member,Resident
Carolus Linnaeus,American Philosophical Society,1769,Member,International
John Lorimer,American Philosophical Society,1769,Member,Resident
John M. Otto,American Philosophical Society,1769,Member,Resident
Ebenezer Prime,American Philosophical Society,1769,Member,Resident
Samuel Shoemaker,American Philosophical Society,1769,Member,Resident
Earl William Alexander,American Philosophical Society,1770,Member,Resident
Joel Bailey,American Philosophical Society,1770,Member,Resident
Joseph Ellicott,American Philosophical Society,1770,Member,Resident
James Ferguson,American Philosophical Society,1770,Member,International
John Fothergill,American Philosophical Society,1770,Member,International
Joseph Gilpin,American Philosophical Society,1770,Member,Resident
George Guald,American Philosophical Society,1770,Member,Resident
John David Hahn,American Philosophical Society,1770,Member,International
John Morell,American Philosophical Society,1770,Member,Resident
Edward Nairne,American Philosophical Society,1770,Member,International
John Baynton,American Philosophical Society,1771,Member,Resident
Henry Benbridge,American Philosophical Society,1771,Member,Resident
Samuel Filsted,American Philosophical Society,1771,Member,International
Archibald Gloucester,American Philosophical Society,1771,Member,International
Henry Hill,American Philosophical Society,1771,Member,Resident
James Lloyd,American Philosophical Society,1771,Member,Resident
Frederick W. von Marschall,American Philosophical Society,1771,Member,Resident
Nevil Maskelyne,American Philosophical Society,1771,Member,International
Charles A. McCall,American Philosophical Society,1771,Member,Resident
Samuel Preston Moore,American Philosophical Society,1771,Member,Resident
Charles Morton,American Philosophical Society,1771,Member,International
Joseph Otolenge,American Philosophical Society,1771,Member,Resident
William Parr,American Philosophical Society,1771,Member,Resident
Thomas Preston,American Philosophical Society,1771,Member,Resident
Samuel Rhoads,American Philosophical Society,1771,Member,Resident
Richard Thomas,American Philosophical Society,1771,Member,Resident
Stephen Adye,American Philosophical Society,1772,Member,International
Gerard Bancker,American Philosophical Society,1772,Member,Resident
Daniel Coxe,American Philosophical Society,1772,Member,Resident
Peter Dolland,American Philosophical Society,1772,Member,International
Thomas Hutchins,American Philosophical Society,1772,Member,Resident
Timothy Lane,American Philosophical Society,1772,Member,International
Henry Laurens,American Philosophical Society,1772,Member,Resident
Jesse Lukens,American Philosophical Society,1772,Member,Resident
Arch McClean,American Philosophical Society,1772,Member,Resident
George Milligan,American Philosophical Society,1772,Member,Resident
John Montresor,American Philosophical Society,1772,Member,International
Samuel Williams,American Philosophical Society,1772,Member,Resident
Tobern Bergmann,American Philosophical Society,1773,Member,International
Thomas Coombe,American Philosophical Society,1773,Member,Resident
Baron von Timotheus M. Klingstadt,American Philosophical Society,1773,Member,International
William Ludlam,American Philosophical Society,1773,Member,International
Andrew Oliver,American Philosophical Society,1773,Member,Resident
Jean B. Le Roy,American Philosophical Society,1773,Member,International
Alexander Small,American Philosophical Society,1773,Member,International
James Tilton,American Philosophical Society,1773,Member,Resident
Nicholas Way,American Philosophical Society,1773,Member,Resident
James Bringhurst,American Philosophical Society,1774,Member,Resident
William Bryant,American Philosophical Society,1774,Member,Resident
Sharp Delany,American Philosophical Society,1774,Member,Resident
Andrew Duncan,American Philosophical Society,1774,Member,International
Bryan Edwards,American Philosophical Society,1774,Member,International
John Ellis,American Philosophical Society,1774,Member,Resident
Jonathan Elmer,American Philosophical Society,1774,Member,Resident
George Gauld,American Philosophical Society,1774,Member,Resident
John Jones,American Philosophical Society,1774,Member,Resident
Walter Jones,American Philosophical Society,1774,Member,Resident
James McClurg,American Philosophical Society,1774,Member,Resident
Samuel More,American Philosophical Society,1774,Member,International
Benjamin Morgan,American Philosophical Society,1774,Member,Resident
Thomas Parke,American Philosophical Society,1774,Member,Resident
John Perkins,American Philosophical Society,1774,Member,Resident
Bernard Romans,American Philosophical Society,1774,Member,Resident
Lord Mahon Charles Stanhope,American Philosophical Society,1774,Member,International
Lord Mahon Philips Stanhope,American Philosophical Society,1774,Member,International
William Wright,American Philosophical Society,1774,Member,International
Charles Adams,American Philosophical Society,1775,Member,International
Jacques Barbeu-Dubourg,American Philosophical Society,1775,Member,International
Marquis de M.J.A.N. Caritat Condorcet,American Philosophical Society,1775,Member,International
Louis J.M. Daubenton,American Philosophical Society,1775,Member,International
Fortunatus Dwarris,American Philosophical Society,1775,Member,International
Thomas Gibbons,American Philosophical Society,1775,Member,International
Samuel Holland,American Philosophical Society,1775,Member,International
Antoine L. Lavoisier,American Philosophical Society,1775,Member,International
Pierre J. Macquer,American Philosophical Society,1775,Member,International
Benjamin Moseley,American Philosophical Society,1775,Member,International
Guillaume T. F. Raynall,American Philosophical Society,1775,Member,International
Le Roux,American Philosophical Society,1775,Member,International
Jean F. Rozier,American Philosophical Society,1775,Member,International
George Duffield,American Philosophical Society,1779,Member,Resident
James Hutchinson,American Philosophical Society,1779,Member,Resident
Charles Pettit,American Philosophical Society,1779,Member,Resident
Conrad A. Gerard de Rayneval,American Philosophical Society,1779,Member,International
Jean-Joseph Sue,American Philosophical Society,1779,Member,International
John Adams,American Philosophical Society,1780,Member,Resident
Marquis de Francois Barbe-Marbois,American Philosophical Society,1780,Member,International
William Brown,American Philosophical Society,1780,Member,Resident
William Carmichael,American Philosophical Society,1780,Member,Resident
Arthur St. Clair,American Philosophical Society,1780,Member,Resident
Robert Erskine,American Philosophical Society,1780,Member,Resident
William Grayson,American Philosophical Society,1780,Member,Resident
Alexander Hamilton,American Philosophical Society,1780,Member,Resident
William C. Houston,American Philosophical Society,1780,Member,Resident
John Jay,American Philosophical Society,1780,Member,Resident
Thomas Jefferson,American Philosophical Society,1780,Member,Resident
J.C. Kunze,American Philosophical Society,1780,Member,Resident
John Laurens,American Philosophical Society,1780,Member,Resident
Anne C. de la Luaerne,American Philosophical Society,1780,Member,International
Rev. James Madison,American Philosophical Society,1780,Member,Resident
Timothy Matlack,American Philosophical Society,1780,Member,Resident
Baron Friedrich W. von Steuben,American Philosophical Society,1780,Member,Resident
Jean-Baptiste Ternant,American Philosophical Society,1780,Member,International
Charles Vallancey,American Philosophical Society,1780,Member,International
George Washington,American Philosophical Society,1780,Member,Resident
Anthony Wayne,American Philosophical Society,1780,Member,Resident
