Name,Organization,Year Elected,Status,Rank,State Born,Group
Jacob Brown,U.S. Army,1816,Member,Major General,Pennsylvania,General Staff
Andrew Jackson,U.S. Army,1816,Member,Major General,South Carolina,General Staff
Alexander Macomb,U.S. Army,1816,Member,Br. Gen. & M. G. Bt,Michigan territory,General Staff
Edmund P. Gaines,U.S. Army,1816,Member,Br. Gen. & M. G. Bt,Virginia,General Staff
Winfield Scott,U.S. Army,1816,Member,Br. Gen. & M. G. Bt,Virginia,General Staff
Eleazer W. Ripley,U.S. Army,1816,Member,Br. Gen. & M. G. Bt,New Hampshire,General Staff
Daniel Parker,U.S. Army,1816,Member,A. & I. Gen. Br. G. Bt,Massachusetts,General Staff
Robert Butler,U.S. Army,1816,Member,Adj. Gen. & Col. Bvt,Pennsylvania,General Staff
Charles K. Gardner,U.S. Army,1816,Member,Adj. Gen. & Col. Bvt,New Jersey,General Staff
Arthur P. Haine,U.S. Army,1816,Member,Ins. Gen. & Col. Bvt,South Carolina,General Staff
John E. Wool,U.S. Army,1816,Member,Ins. Gen. & Col. Bvt,New York,General Staff
James N. Barker,U.S. Army,1816,Member,As. Adj. Gen. Maj. Bvt,Pennsylvania,General Staff
Charles J. Nourse,U.S. Army,1816,Member,As. Adj. Gen. Maj. Bvt,New York,General Staff
Clinton Wright,U.S. Army,1816,Member,As. Adj. Gen. Maj. Bvt,Maryland,General Staff
R.M. Kirby,U.S. Army,1816,Member,As. Adj. Gen. Maj. Bvt,Connecticut,General Staff
G.H. Manigault,U.S. Army,1816,Member,As. Ins. Gen. Maj. Bvt,South Carolina,General Staff
John M. Davis,U.S. Army,1816,Member,As. Ins. Gen. Maj. Bvt,Pennsylvania,General Staff
Francis S. Belton,U.S. Army,1816,Member,As. Ins. Gen. Maj. Bvt,Maryland,General Staff
Wm. McDonald,U.S. Army,1816,Member,As. Ins. Gen. Maj. Bvt,Pennsylvania,General Staff
John Anderson,U.S. Army,1816,Member,Top. Eng. Maj. Bvt,Connecticut,General Staff
Isaac Roberdeau,U.S. Army,1816,Member,Top. Eng. Maj. Bvt,Pennsylvania,General Staff
John J. Abert,U.S. Army,1816,Member,Top. Eng. Maj. Bvt,Maryland,General Staff
James Kearney,U.S. Army,1816,Member,Top. Eng. Maj. Bvt,,General Staff
Stephen H. Long,U.S. Army,1816,Member,Top. Eng. Maj. Bvt,New Hampshire,General Staff
James R. Mullany,U.S. Army,1816,Member,Qr. Mr. G. & Col. Bvt,Ireland,General Staff
George Gibson,U.S. Army,1816,Member,Qr. Mr. G. & Col. Bvt,Pennsylvania,General Staff
Christopher Vandeventer,U.S. Army,1816,Member,D. Q. M. G. & Maj. Bvt,New York,General Staff
William Linnard,U.S. Army,1816,Member,D. Q. M. G. & Maj. Bvt,Pennsylvania,General Staff
Benjamin Gardner,U.S. Army,1816,Member,A. D. Q. M. G. Capt. Bvt,Massachusetts,General Staff
Milo Mason,U.S. Army,1816,Member,A. D. Q. M. G. Capt. Bvt,Vermont,General Staff
Mark Hardin,U.S. Army,1816,Member,A. D. Q. M. G. Capt. Bvt,North Carolina,General Staff
William. L. Robeson,U.S. Army,1816,Member,A. D. Q. M. G. Capt. Bvt,North Carolina,General Staff
Decius Wadsworth,U.S. Army,1816,Member,Colonel,Connecticut,Ordinance Department
George Bomford,U.S. Army,1816,Member,Lieutenant Colonel,New York,Ordinance Department
A.R. Wooley,U.S. Army,1816,Member,Major  ,New Jersey,Ordinance Department
James Dalaby,U.S. Army,1816,Member,Major,Connecticut,Ordinance Department
John Morton,U.S. Army,1816,Member,Captain,New York,Ordinance Department
George Talcott Jr.,U.S. Army,1816,Member,Captain,Connecticut,Ordinance Department
John H. Margart,U.S. Army,1816,Member,Captain,South Carolina,Ordinance Department
R.D. Richardson,U.S. Army,1816,Member,Captain,Virginia,Ordinance Department
Thomas L. Campbell,U.S. Army,1816,Member,Captain,Scotland,Ordinance Department
Edwin Tyler,U.S. Army,1816,Member,Captain,Connecticut,Ordinance Department
J.H. Rees,U.S. Army,1816,Member,Captain,Pennsylvania,Ordinance Department
Jeremiah D. Hayden,U.S. Army,1816,Member,Captain,New Jersey,Ordinance Department
