Name,Organization,Year,Status
Edward Cutbush,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Nathaniel Cutting,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Robert Brent,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Thomas Law,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Andrew Way,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
William Thornton,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Joseph Anderson,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Richard Forrest,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Roger C. Weightman,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
William Weightman,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Thomas Tingey,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
William Brent,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
William D. Digges,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Richard B. Lee,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Griffith Coombe,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
James D. Barry,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Stephen Pleasonton,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
David Ott,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Tobias Lear,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Joseph Gales Jr.,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Benjamin Henry Latrobe,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
William Seaton,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Benjamin Homans,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Franklin Wharton,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
J. Campbell,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Buchanan Thornton,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
James H. Blake,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
W.G.D Worthington,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Alexander Kemp,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
T.T. Tucker,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
Samuel Harrison Smith,Columbian Institute for the Promotion of Arts and Sciences,1816,Member
