"","Name","City","State","Founded","Incorporated","Year.Established","Publication","Type","location","lon","lat"
"1","East India Marine Society","Salem","Massachusetts ",1799,1801,1799,"","Specialized","Salem Massachusetts ",-70.8967155,42.51954
"2","American Academy of Arts and Sciences","Boston","Massachusetts ",NA,1780,1780,"Memoirs of the Academy of Arts and Sciences","Universal","Boston Massachusetts ",-71.0588801,42.3600825
"3","Linnaean Society of New England","Boston","Massachusetts ",NA,NA,1815,"","Specialized","Boston Massachusetts ",-71.0588801,42.3600825
"4","Franklin Society","Providence","Rhode Island",NA,NA,1821,"","Agricultural and Mechanical","Providence Rhode Island",-71.4128343,41.8239891
"5","Philosphusian Society","Providence","Rhode Island",NA,NA,1820,"","Arts and Letters","Providence Rhode Island",-71.4128343,41.8239891
"6","Connecticut Academy of Arts and Sciences","New Haven","Connecticut",NA,1799,1799,"Memoirs","Universal","New Haven Connecticut",-72.9278835,41.308274
"7","American Geological Society","New Haven","Connecticut",NA,1819,1819,"","Specialized","New Haven Connecticut",-72.9278835,41.308274
"8","Pittsfield Lyceum","Pittsfield","Massachusetts ",NA,1823,1823,"","Specialized","Pittsfield Massachusetts ",-73.2453824,42.4500845
"9","Society of useful Arts","Albany","New York",NA,NA,1804,"","Agricultural and Mechanical","Albany New York",-73.7562317,42.6525793
"10","Utica Lyceum of Natural History","Utica","New York",NA,1820,1820,"","Specialized","Utica New York",-75.232664,43.100903
"11","Chemical and Geological Society","Delhi","New York",NA,NA,1821,"","Specialized","Delhi New York",-74.9159946,42.2781401
"12","Troy Lyceum of Natural History","Troy","New York",NA,1819,1819,"","Specialized","Troy New York",-73.6917851,42.7284117
"13","Hudson Lyceum of Natural History","Hudson","New York",NA,1821,1821,"","Specialized","Hudson New York",-73.790959,42.2528649
"14","Catskill Lyceum of Natural History","","New York",NA,1820,1820,"","Specialized"," New York",-74.0059413,40.7127837
"15","West Point Lyceum of Natural History","West Point","New York",NA,1824,1824,"","Specialized","West Point New York",-73.9559721,41.3914827
"16","Literary and Philosophical Society","New York","New York",NA,1815,1815,"","Specialized","New York New York",-74.0059413,40.7127837
"17","Lyceum of Natural History","New York","New York",NA,1818,1818,"","Specialized","New York New York",-74.0059413,40.7127837
"18","New York Branch of the Linnean Society of Paris","","New York",NA,NA,1824,"","Specialized"," New York",-74.0059413,40.7127837
"19","New York Athenaeum","","New York",NA,NA,1824,"","Specialized"," New York",-74.0059413,40.7127837
"20","Literary and Philosophical Society of New Jersey","Princeton","New Jersey",NA,1825,1825,"","","Princeton New Jersey",-74.6672226,40.3572976
"21","American Philosophical Society","Philadelphia","Pennsylvania ",NA,1769,1769,"Transactions of the American Philosophical Society","","Philadelphia Pennsylvania ",-75.1652215,39.9525839
"22","Linnaen Society","Philadelphia","Pennsylvania ",NA,1807,1807,"","","Philadelphia Pennsylvania ",-75.1652215,39.9525839
"23","Academy of Natural Sciences","Philadelphia","Pennsylvania ",NA,1818,1818,"Journal of the Academy of Natural Sciences","","Philadelphia Pennsylvania ",-75.1652215,39.9525839
"24","Academy of Science and Literature","Baltimore","Maryland",NA,1821,1821,"","","Baltimore Maryland",-76.6121893,39.2903848
"25","Columbian Institute for the Promotion of Arts and Sciences","Washington D.C.","Washington D.C.",NA,NA,1817,"","","Washington D.C. Washington D.C.",-91.6916417,41.3014077
"26","Western Museum Society","Cincinnati","Ohio",NA,1818,1818,"","","Cincinnati Ohio",-84.5120196,39.1031182
"27","Literary and Philosophical Society","Charleston","South Carolina",NA,NA,1814,"","","Charleston South Carolina",-79.9310512,32.7764749
"28","Lyceum of Natural History","New Orleans","Louisiana",NA,1825,1825,"","","New Orleans Louisiana",-90.0715323,29.9510658
