,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
6001,3583,4781,NY,Schenectady,YMCA,YMCA,1858,NA,1875,NA,1875,700,1875,700,Antebellum
6002,3382,4775,NY,Schenectady,Schenectady Lyceum and Acad.,Lyceum,NA,1858,1858,NA,1858,375,1858,375,NA
6003,3584,4782,NY,Schenectady,YMCA,YMCA,1867,NA,1884,NA,NA,0,NA,0,NA
6004,5148,95264,NY,Schenectady,Miller's Public Circulating Library,Comm,NA,1840,1840,NA,NA,0,NA,0,NA
6005,6031,4778,NY,Schenectady,Union College - Engineering School,Sci eng coll,1845,NA,1875,NA,1875,3000,1875,3000,Antebellum
6006,5464,4777,NY,Schenectady,Union College - Adelphic Society,Coll socy,1797,NA,1884,NA,1857,3550,1875,3000,Early National
6007,6032,4776,NY,Schenectady,Union College Library,Coll,1795,NA,1884,NA,1845,13000,1875,12000,Early National
6008,7597,4774,NY,Schenectady,Fourth Judicial District,Law state,1866,NA,1884,NA,1875,2500,1875,2500,NA
6009,5463,4779,NY,Schenectady,Union College - Philomathean Society,Coll socy,1793,NA,1884,NA,1857,3812,1875,3000,Early National
6010,471,4780,NY,Schnectady,Young Men's Assoc.,YMA,NA,1839,1858,NA,1850,3200,1858,3800,NA
6011,7873,4783,NY,Schoharie,Schoharie County Law Library,Co law,1840,NA,1884,NA,1875,445,1875,445,Antebellum
6012,1347,4784,NY,Scottsville,Scottsville Library,Socl,1839,NA,1840,NA,NA,0,NA,0,Antebellum
6013,1348,4785,NY,Seneca,Seneca Union Library,Socl,1806,NA,1806,NA,NA,0,NA,0,Early National
6014,1349,12615,NY,Setauket,Franklinean Library Company of Setauket,Socl,1806,NA,1807,NA,NA,0,NA,0,Early National
6015,6772,4787,NY,Sing Sing,Sing Sing State Prison,Prison,1842,NA,1884,NA,1875,3695,1875,3695,Antebellum
6016,4615,4786,NY,Sing Sing,Sing Sing Agricultural and Mechanics Association,Agri socl,1867,NA,1867,NA,1867,240,1867,240,NA
6017,4616,4788,NY,Skeneateles,Skeneateles Farmers' Club,Agri socl,1837,1859,1867,NA,1859,140,1867,200,Antebellum
6018,8041,4789,NY,Somers,Public Library,Public,NA,1850,1858,NA,1850,210,1858,210,NA
6019,1350,4790,NY,Somers,Somers Library,Socl,1875,NA,1884,NA,NA,0,NA,0,NA
6020,4617,4791,NY,Springfield,Union Agricultural Society,Agri socl,1858,1867,1867,NA,1867,75,1867,75,Antebellum
6021,1351,4792,NY,Springville,Assoc. Library,Socl,1874,NA,1875,NA,1875,2000,1875,2000,NA
6022,1352,4793,NY,Stamford,Judson Library,Socl,1871,NA,1884,NA,1875,1800,1875,1800,NA
6023,6033,4794,NY,Stanfordville,Christian Biblical Institute,Theo coll,1869,NA,1884,NA,NA,0,NA,0,NA
6024,3585,4796,NY,Stapleton,YMCA,YMCA,1856,NA,1858,NA,1858,300,1858,300,Antebellum
6025,6908,4795,NY,Stapleton,Seamen's Retreat Hospital,Asylum,1835,NA,1875,NA,1875,724,1875,724,Antebellum
6026,8042,4797,NY,Starkey,Georgic Library,Public,1847,NA,1875,NA,1875,1855,1875,1855,Antebellum
6027,7301,42080,NY,Staten Island,Parochial Library,Church,NA,NA,NA,NA,NA,0,NA,0,NA
6028,7772,12565,NY,Staten Island,Fort Wadsworth,Garr,NA,1870,1870,NA,1870,250,1870,250,NA
6029,1353,4798,NY,Stephentown,Stephentown Library Society.,Socl,1796,NA,1796,NA,NA,0,NA,0,Early National
6030,1354,4799,NY,Stratford,Stratford Phoenix Library,Socl,1806,NA,1806,NA,NA,0,NA,0,Early National
6031,6036,12616,NY,Strathmore,Strathmore College Library,Coll,NA,1871,1871,NA,NA,0,NA,0,NA
6032,4614,4746,NY,Success,Riverhead Agricultural Society,Agri socl,1867,1867,1867,NA,1867,80,1867,80,NA
6033,6035,4801,NY,Suspension Bridge,Niagara University,Coll,1856,NA,1884,NA,NA,0,NA,0,Antebellum
6034,6034,4800,NY,Suspension Bridge,De Veaux College,Coll,1857,NA,1870,NA,1870,1206,1870,1206,Antebellum
6035,1355,4802,NY,Sweden,Library Co. of Sweden,Socl,1824,NA,1824,NA,NA,0,NA,0,Early National
6036,8043,4803,NY,Syracuse,Central Library,Public,1856,NA,1884,NA,1869,7370,1875,13300,Antebellum
6037,3586,4810,NY,Syracuse,YMCA,YMCA,1858,NA,1884,NA,1875,1500,1875,1500,Antebellum
6038,1356,4805,NY,Syracuse,Franklin Inste,Socl,1849,NA,1859,NA,1849,871,1857,2700,Antebellum
6039,1357,4806,NY,Syracuse,,Socl,1837,NA,NA,1845,NA,0,NA,0,Antebellum
6040,6773,4807,NY,Syracuse,Onondaga? County Penitentiary,Prison,1853,NA,1875,NA,1875,300,1875,300,Antebellum
6041,6038,4809,NY,Syracuse,Syracuse University College of Physicians and Surgeons,Med coll,1872,NA,1884,NA,1875,2000,1875,2000,NA
6042,6037,4808,NY,Syracuse,Syracuse University,Coll,1871,NA,1884,NA,1875,8000,1875,8000,NA
6043,7598,4804,NY,Syracuse,Court of Appeals,Law state,1849,NA,1884,NA,1875,8500,1875,8500,Antebellum
6044,472,4811,NY,Tarrytown,Young Men's Lyceum,YMA,1866,NA,1884,NA,1875,1200,1875,1200,NA
6045,4618,4812,NY,Thorn Hill,Thorn Hill Farmers' Club,Agri socl,1862,1867,1867,NA,1867,30,1867,30,NA
