Name,Organization,Membership Status,Year Elected,Current Status,Profession,,
John J. Abert,National Institute for the Promotion of Science,Resident Members,,,USA,Colonel John James Abert,https://en.wikipedia.org/wiki/John_James_Abert
George J. Abbot,National Institute for the Promotion of Science,Resident Members,,,,,http://www.library.hbs.edu/hc/sfa/georgeabbot.htm
John Quincy Adams,National Institute for the Promotion of Science,Resident Members,,Honorary,,,
James Adams,National Institute for the Promotion of Science,Resident Members,1842,,,,
Thomas Allen,National Institute for the Promotion of Science,Resident Members,,,,,
Timothy P. Andrews,National Institute for the Promotion of Science,Resident Members,,,USA,,
John Agg,National Institute for the Promotion of Science,Resident Members,1842,,,,
R.P. Anderson,National Institute for the Promotion of Science,Resident Members,1842,,,,
George M. Bache,National Institute for the Promotion of Science,Resident Members,1841,,USN,USN,https://en.wikipedia.org/wiki/George_M._Bache
Robert Barnard,National Institute for the Promotion of Science,Resident Members,,,,,
J. N.  Barker,National Institute for the Promotion of Science,Resident Members,,,,James Nelson Barker,https://en.wikipedia.org/wiki/James_Nelson_Barker
John D. Barclay,National Institute for the Promotion of Science,Resident Members,1841,,USN,,
Garret R. Barclay,National Institute for the Promotion of Science,Resident Members,1840,,,USN,
G. Bender,National Institute for the Promotion of Science,Resident Members,,,,,
Francis Benne,National Institute for the Promotion of Science,Resident Members,1841,,,,
M. Burchard,National Institute for the Promotion of Science,Resident Members,,,,,
Benjamin S. Bohrer,National Institute for the Promotion of Science,Resident Members,,,M.D.,MD,
J. Borous,National Institute for the Promotion of Science,Resident Members,1841,,M.D.,MD,
W. A Bradley,National Institute for the Promotion of Science,Resident Members,1840,,,,
J. G. Bruff,National Institute for the Promotion of Science,Resident Members,1840,,,,
Caleb Buckingham,National Institute for the Promotion of Science,Resident Members,1841,,,,
S. G. Bulfinch,National Institute for the Promotion of Science,Resident Members,1841,,,Stephen Greenleaf Bulfinch,
O. B. Brown,National Institute for the Promotion of Science,Resident Members,1841,,,,
Marcus C. Buck,National Institute for the Promotion of Science,Resident Members,1841,Deceased,M.D. USA,,
J. W. Brown,National Institute for the Promotion of Science,Resident Members,1841,,,M.D.,
F. P. Blair,National Institute for the Promotion of Science,Resident Members,1842,,,Francis Blair,
Jacob A. Bender,National Institute for the Promotion of Science,Resident Members,1842,,,,
Jonathan M. Broadhead,National Institute for the Promotion of Science,Resident Members,1842,,,,
William Dunlap Breckenridge,National Institute for the Promotion of Science,Resident Members,1842,,,,
Jonathan Caroll Brent,National Institute for the Promotion of Science,Resident Members,1842,,,,
Thomas W. Brent,National Institute for the Promotion of Science,Resident Members,1841,Deceased,USN,Lt,
John Callan,National Institute for the Promotion of Science,Resident Members,,,,,
James Callaghan,National Institute for the Promotion of Science,Resident Members,1841,,,,
William Carroll,National Institute for the Promotion of Science,Resident Members,1840,,,,ANB
James H. Causten,National Institute for the Promotion of Science,Resident Members,1841,,M.D.,,
J. G. Chapman,National Institute for the Promotion of Science,Resident Members,1841,,,,
R. S. Chew,National Institute for the Promotion of Science,Resident Members,1841,,,,
Matthew St. Clair Clarke,National Institute for the Promotion of Science,Resident Members,,,,,
John T. Cochrane,National Institute for the Promotion of Science,Resident Members,,,,,
"William W, Corcoran",National Institute for the Promotion of Science,Resident Members,1841,,,,
Richard S. Coxe,National Institute for the Promotion of Science,Resident Members,1841,,,,
S. Cooper,National Institute for the Promotion of Science,Resident Members,,,USA,,
William Cranch,National Institute for the Promotion of Science,Resident Members,,,,,
W. G. Cranch,National Institute for the Promotion of Science,Resident Members,1841,,,,
J. Hartley Crawford,National Institute for the Promotion of Science,Resident Members,,,,,
James M. Cutts,National Institute for the Promotion of Science,Resident Members,,,,,
J. D. Chauncy,National Institute for the Promotion of Science,Resident Members,1840,,USN,,
D. M Charles,National Institute for the Promotion of Science,Resident Members,1841,Deceased,,,
J. Carter,National Institute for the Promotion of Science,Resident Members,1842,,,,
J. P. Couthouy,National Institute for the Promotion of Science,Resident Members,1842,,,,
Aaron O. Dayton,National Institute for the Promotion of Science,Resident Members,,,,,
H.H. Dent,National Institute for the Promotion of Science,Resident Members,1841,,,,
M. O. de Santangelo,National Institute for the Promotion of Science,Resident Members,1841,,,,
A. H. Derrick,National Institute for the Promotion of Science,Resident Members,,,,,
W.S. Derrick,National Institute for the Promotion of Science,Resident Members,,,,,
Alexander Dimitry,National Institute for the Promotion of Science,Resident Members,,,,,
Thomas W. Donovan,National Institute for the Promotion of Science,Resident Members,1841,,M.D.,,
Judge Dunlap,National Institute for the Promotion of Science,Resident Members,1842,,,,
J. Drayton,National Institute for the Promotion of Science,Resident Members,1842,,,,
Josiah Dent,National Institute for the Promotion of Science,Resident Members,1842,,,,
J.D. Dana,National Institute for the Promotion of Science,Resident Members,1842,,,,
William Easby,National Institute for the Promotion of Science,Resident Members,1841,,,,
James L. Edwards,National Institute for the Promotion of Science,Resident Members,1841,,,,
Henry Ellsworth,National Institute for the Promotion of Science,Resident Members,1841,,,,
W. Ellis,National Institute for the Promotion of Science,Resident Members,1841,,,,
Marshall Ewing,National Institute for the Promotion of Science,Resident Members,1841,,,,
W. P. Elliott,National Institute for the Promotion of Science,Resident Members,1841,,,,
C. B. Fisk,National Institute for the Promotion of Science,Resident Members,1840,,,,
Peter Force,National Institute for the Promotion of Science,Resident Members,,,,,
T. B. J. Frye,National Institute for the Promotion of Science,Resident Members,1840,,M.D.,,
W. Fremont,National Institute for the Promotion of Science,Resident Members,1841,,Corps Engineers,Corps Topographic Engineers,
