Name,Organization,Year Elected,Status,
John Adams,American Academy of Arts and Sciences,1780,Member,
Samuel Adams,American Academy of Arts and Sciences,1780,Member,
John Bacon,American Academy of Arts and Sciences,1780,Member,
James Bowdoin,American Academy of Arts and Sciences,1780,Member,
Charles Chauncy,American Academy of Arts and Sciences,1780,Member,
John Clarke,American Academy of Arts and Sciences,1780,Member,
David Cobb,American Academy of Arts and Sciences,1780,Member,
Samuel Cooper,American Academy of Arts and Sciences,1780,Member,
Nathan Cushing,American Academy of Arts and Sciences,1780,Member,
Thomas Cushing,American Academy of Arts and Sciences,1780,Member,
William Cushing,American Academy of Arts and Sciences,1780,Member,
Tristram Dalton,American Academy of Arts and Sciences,1780,Member,
Francis Dalton,American Academy of Arts and Sciences,1780,Member,
Samuel Deane,American Academy of Arts and Sciences,1780,Member,
Perez Fobes,American Academy of Arts and Sciences,1780,Member,
Caleb Gannett,American Academy of Arts and Sciences,1780,Member,
Henry Gardner,American Academy of Arts and Sciences,1780,Member,
Benjamin Guild,American Academy of Arts and Sciences,1780,Member,
John Hancock,American Academy of Arts and Sciences,1780,Member,
Joseph Hawley,American Academy of Arts and Sciences,1780,Member,
Edward Augustus Holyoke,American Academy of Arts and Sciences,1780,Member,
Ebenezer Hunt,American Academy of Arts and Sciences,1780,Member,
Jonathan Jackson,American Academy of Arts and Sciences,1780,Member,
Charles Jarvis,American Academy of Arts and Sciences,1780,Member,
Samuel Langdon,American Academy of Arts and Sciences,1780,Member,
Levi Lincoln,American Academy of Arts and Sciences,1780,Member,
Daniel Little,American Academy of Arts and Sciences,1780,Member,
Elijah Lothrop,American Academy of Arts and Sciences,1780,Member,
John Lowell,American Academy of Arts and Sciences,1780,Member,
Samuel Mather,American Academy of Arts and Sciences,1780,Member,
Samuel Moody,American Academy of Arts and Sciences,1780,Member,
Andrew Oliver,American Academy of Arts and Sciences,1780,Member,
Joseph Orne,American Academy of Arts and Sciences,1780,Member,
Robert Treat Paine,American Academy of Arts and Sciences,1780,Member,
Theodore Parsons,American Academy of Arts and Sciences,1780,Member,
George Partridge,American Academy of Arts and Sciences,1780,Member,
Phillips Payson,American Academy of Arts and Sciences,1780,Member,
Samuel Phillips,American Academy of Arts and Sciences,1780,Member,
John Pickering,American Academy of Arts and Sciences,1780,Member,
Oliver Prescott,American Academy of Arts and Sciences,1780,Member,
