,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period,location,lon,lat
4003,8696,52459,MI,Milan,Milan Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Milan MI,9.1859243,45.4654219
4004,8697,52460,MI,Milford,Milford Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Milford MI,-83.6003703,42.5916684
4005,8698,52461,MI,Milton,Milton Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Milton MI,-85.3312715,44.923442
4006,8699,52462,MI,Monguagon,Monguagon Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Monguagon MI,-83.2071286,42.0845244
4007,8702,3498,MI,Monroe,Frenchtown Township Library,Town,1851,NA,1884,NA,NA,0,NA,0,Antebellum,Monroe MI,-83.3977101,41.9164343
4008,8127,3500,MI,Monroe,Public Library,Public,1828,NA,1990,NA,1850,1500,1875,1672,Early National,Monroe MI,-83.3977101,41.9164343
4009,8700,3499,MI,Monroe,Monroe Township Library,Town,1849,NA,1884,NA,NA,0,NA,0,Antebellum,Monroe MI,-83.3977101,41.9164343
4010,2765,30912,MI,Monroe,,Rel socl,1849,NA,1849,NA,NA,0,NA,0,Antebellum,Monroe MI,-83.3977101,41.9164343
4011,8701,52463,MI,Monroe City,Monroe City,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Monroe City MI,-83.3977101,41.9164343
4012,8703,52464,MI,Montcalm,Montcalm Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Montcalm MI,-85.1894045,43.3057341
4013,8704,52465,MI,Monterey,Monterey Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Monterey MI,-85.8281458,42.6513977
4014,8705,52466,MI,Montrose,Montrose Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Montrose MI,-83.8579053,43.1745034
4015,8706,52467,MI,Moscow,Moscow Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Moscow MI,-84.5099512,42.0494881
4016,8707,52468,MI,Mottville,Mottville Township Library,Town,NA,1858,1858,NA,NA,0,NA,0,NA,Mottville MI,-85.756938,41.7994939
4017,8128,30914,MI,Mount Clemens,School District Public Library,Public,1865,NA,1989,NA,NA,0,NA,0,NA,Mount Clemens MI,-82.8779754,42.5972563
4018,8708,52469,MI,Mount Morris,Mount Morris Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Mount Morris MI,-83.6949583,43.1186374
4019,8709,52470,MI,Mundy,Mundy Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Mundy MI,-83.7411631,42.9069105
4020,8711,52472,MI,Muskegon,Muskegon Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Muskegon MI,-86.2483921,43.2341813
4021,8710,52471,MI,Muskegon,Muskegon Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Muskegon MI,-86.2483921,43.2341813
4022,2270,3501,MI,Muskegon,Library Assoc.,Socl,1869,NA,1876,NA,1875,400,1875,400,NA,Muskegon MI,-86.2483921,43.2341813
4023,8712,52473,MI,Mussey,Mussey Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Mussey MI,-82.9277877,43.0130773
4024,8713,52474,MI,Nankin,Nankin Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Nankin MI,-83.3941056,42.3418466
4025,8714,52475,MI,Napoleon,Napoleon Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Napoleon MI,-84.2460616,42.1605944
4026,8129,3502,MI,Neguanee,Public Library,Public,1860,NA,1884,NA,NA,0,NA,0,Antebellum,Neguanee MI,-87.6068721,46.5090928
4027,8715,52476,MI,Nelson,Nelson Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Nelson MI,-84.2297055,43.3341921
4028,8718,52479,MI,New Buffalo,New Buffalo Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,New Buffalo MI,-86.7439154,41.7939302
4029,8721,52482,MI,New Haven,New Haven Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,New Haven MI,-82.8013107,42.7294758
4030,8720,52481,MI,New Haven,New Haven Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,New Haven MI,-82.8013107,42.7294758
4031,8717,52478,MI,Newark,Newark Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Newark MI,-84.7097259,43.2486435
4032,8716,52477,MI,Newark,Newark Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Newark MI,-84.7097259,43.2486435
4033,8719,52480,MI,Newburgh,Newburgh Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Newburgh MI,-83.4112872,42.3667559
4034,8722,52483,MI,Newton,Newton Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Newton MI,-85.7186481,46.0909095
4035,8724,52485,MI,Niles,Niles Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Niles MI,-86.2541768,41.8297694
4036,8723,52484,MI,Niles City,Niles City Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Niles City MI,-86.2541768,41.8297694
4037,8725,52486,MI,Noble,Noble Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Noble MI,-85.2411958,41.7915445
4038,8726,52487,MI,North Branch,North Branch,Town,NA,1860,1860,NA,NA,0,NA,0,NA,North Branch MI,-83.1966117,43.2294705
4039,8728,52489,MI,North Plains,North Plains Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,North Plains MI,-84.8776392,43.0796882
4040,8730,52490,MI,North Shade,North Shade Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,North Shade MI,-84.7942091,43.153311
4041,8731,52491,MI,North Star,North Star Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,North Star MI,-84.5428489,43.2479215
4042,8727,52488,MI,Northfield,Northfield Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Northfield MI,-83.7433813,42.4003857
4043,8729,3503,MI,Northport,Northport Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Northport MI,-85.6167509,45.1313875
4044,8732,52492,MI,Novi,Novi Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Novi MI,-83.4754913,42.48059
4045,8733,52493,MI,Oakfield,Oakfield Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Oakfield MI,-85.3756249,43.1782596
4046,8734,52494,MI,Oakland,Oakland Township Library,Town,NA,1858,1858,NA,NA,0,NA,0,NA,Oakland MI,-83.1434573,42.7561109
4047,8735,52495,MI,Oceana,Oceana Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Oceana MI,-86.2895052,43.643476
4048,8736,52496,MI,Odessa,Odessa Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Odessa MI,-85.1271907,42.818789
4049,8737,52497,MI,Ogden,Ogden Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Ogden MI,-83.9799436,41.817827
4050,8738,52498,MI,Olive,Olive Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Olive MI,-86.1239988,42.8852254
4051,8739,52499,MI,Olive,Olive Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Olive MI,-86.1239988,42.8852254
4052,5730,3505,MI,Olivet,Olivet College - Phi Alpha Pi Society,Coll socy,1861,NA,1875,NA,NA,0,NA,0,NA,Olivet MI,-84.9241542,42.4414273
4053,5729,3506,MI,Olivet,Olivet College - Society Library,Coll socy,1862,NA,1875,NA,NA,0,NA,0,NA,Olivet MI,-84.9241542,42.4414273
4054,6251,3504,MI,Olivet,Olivet College,Coll,1848,NA,1884,NA,1863,1500,1875,6000,Antebellum,Olivet MI,-84.9241542,42.4414273
4055,8740,52500,MI,Oneida,Oneida Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Oneida MI,-84.7942091,42.7262349
4056,8741,52501,MI,Onondaga,Onondaga Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Onondaga MI,-84.5621963,42.4442037
4057,8742,52502,MI,Ontwa,Ontwa Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Ontwa MI,-86.0427626,41.7821811
4058,8743,52503,MI,Orange,Orange Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Orange MI,-85.1686743,44.6549336
4059,8744,52504,MI,Orangeville,Orangeville Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Orangeville MI,-85.5191805,42.5528126
4060,8745,52505,MI,Oranokogo,Oranokogo Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Oranokogo MI,-85.6023643,44.3148443
4061,8746,30915,MI,Orchard Lake,Orchard Lake Township Library,Town,1845,NA,1989,NA,NA,0,NA,0,Antebellum,Orchard Lake MI,-83.3735966,42.5894857
4062,8747,52506,MI,Oregon,Oregon Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Oregon MI,-83.4003037,43.0814062
4063,8748,52507,MI,Orion,Orion Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Orion MI,-83.2720082,42.7637431
4064,8749,52508,MI,Orleans,Orleans Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Orleans MI,-85.135184,43.0684397
4065,8750,52509,MI,Osceola,Osceola Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Osceola MI,-85.354965,43.9257279
4066,8751,52510,MI,Oshtemo,Oshtemo Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Oshtemo MI,-85.6837015,42.2815313
4067,8752,52511,MI,Otisco,Otisco Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Otisco MI,-85.2515482,43.057058
4068,8753,3508,MI,Otsego,Otsego Township Library,Town,1850,NA,1884,NA,NA,0,NA,0,Antebellum,Otsego MI,-85.696406,42.4605904
4069,2877,3507,MI,Otsego,Ladies' Library,Ladies,1871,NA,NA,1905,NA,0,NA,0,NA,Otsego MI,-85.696406,42.4605904
4070,8754,52512,MI,Ottawa,Ottawa Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Ottawa MI,-86.0937312,42.953023
4071,8755,52513,MI,Overisel,Overisel Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA,Overisel MI,-86.0097593,42.7283593
4072,8756,52514,MI,Ovid,Ovid Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Ovid MI,-84.3716438,43.0058618
4073,8757,52515,MI,Ovid,Ovid Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Ovid MI,-84.3716438,43.0058618
4074,2876,3509,MI,Owasso,Ladies' Library Assoc.,Ladies,1867,NA,NA,1910,1868,262,1875,875,NA,Owasso MI,-84.1766358,42.9978049
4075,3527,30916,MI,Owasso,Women's Literary Club,Ladies' socy,NA,1860,NA,1867,NA,0,NA,0,NA,Owasso MI,-84.1766358,42.9978049
4076,8758,52516,MI,Owosso,Owosso Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Owosso MI,-84.1766358,42.9978049
4077,8759,52517,MI,Oxford,Oxford Township Library,Town,NA,1858,1858,NA,NA,0,NA,0,NA,Oxford MI,-83.2746567,42.8418574
4078,8760,52518,MI,Palmyra,Palmyra Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Palmyra MI,-83.9357756,41.8597702
4079,8761,52519,MI,Paris,Paris Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Paris MI,-82.7994194,43.7361035
4080,8762,52520,MI,Park,Park Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Park MI,-86.1853474,42.8101729
4081,8763,52521,MI,Parma,Parma Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Parma MI,-84.5996885,42.2583711
4082,8764,52522,MI,Pavillion,Pavillion Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Pavillion MI,-85.4591636,42.172267
4083,8765,52523,MI,Peninsula,Peninsula Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Peninsula MI,-85.5097226,44.8839492
4084,8766,52524,MI,Penn,Penn Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Penn MI,-85.9358381,41.9469906
4085,8767,52525,MI,Pennfield,Pennfield Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Pennfield MI,-85.129834,42.3699055
4086,8768,52526,MI,Perry,Perry Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Perry MI,-84.2194127,42.8264205
4087,8769,52527,MI,Pine Grove,Pine Grove Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Pine Grove MI,-85.8627961,42.3539249
4088,8770,52528,MI,Pine Plains,Pine Plains Township Library,Town,NA,1857,1857,NA,NA,0,NA,0,NA,Pine Plains MI,-85.7749111,43.8963311
4089,8771,52529,MI,Pine River,Pine River Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Pine River MI,-84.6792931,43.4275504
4090,8772,52530,MI,Pipestone,Pipestone Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Pipestone MI,-86.2767995,42.0377521
4091,8773,52531,MI,Pittsfield,Pittsfield Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Pittsfield MI,-83.7241068,42.2103174
4092,8774,52532,MI,Pittsford,Pittsford Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Pittsford MI,-84.4764726,41.8620069
4093,8775,52533,MI,Plainfield,Plainfield Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Plainfield MI,-85.613847,43.0582815
4094,2875,3510,MI,Plainwell,Ladies' Library Assoc.,Ladies,1868,NA,NA,1918,1869,175,1875,534,NA,Plainwell MI,-85.6489035,42.4400357
4095,8776,52534,MI,Plymouth,Plymouth Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Plymouth MI,-83.4702132,42.3714253
4096,8777,52535,MI,Pokagon,Pokagon Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Pokagon MI,-86.1764,41.9125463
4097,8778,52536,MI,Polkton,Polkton Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Polkton MI,-85.9917437,43.0465604
4098,8779,52537,MI,Pontiac,Pontiac Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Pontiac MI,-83.2910468,42.6389216
4099,8784,52542,MI,Port Huron,Port Huron Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Port Huron MI,-82.4249142,42.9708634
4100,2874,3511,MI,Port Huron,Ladies' Library Assoc.,Ladies,1866,NA,1884,NA,1866,113,1875,1938,NA,Port Huron MI,-82.4249142,42.9708634
4101,8780,52538,MI,Portage,Portage Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Portage MI,-85.5800022,42.2011538
4102,8781,52539,MI,Portage,Portage Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Portage MI,-85.5800022,42.2011538
4103,8782,52540,MI,Porter,Porter Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Porter MI,-84.4663891,43.5186404
4104,8783,52541,MI,Porter,Porter Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Porter MI,-84.4663891,43.5186404
4105,8785,52543,MI,Portland,Portland Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Portland MI,-84.9100792,42.8672048
4106,8786,52544,MI,Prairie Ronde,Prairie Ronde Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Prairie Ronde MI,-85.7051116,42.0968649
4107,8787,52545,MI,Prairieville,Prairieville Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Prairieville MI,-85.4550103,42.5047579
4108,8788,52546,MI,Pulaski,Pulaski Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Pulaski MI,-84.6424619,42.1150426
4109,8789,52547,MI,Putnam,Putnam Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Putnam MI,-83.9532571,42.4505198
4110,2873,3512,MI,Quincy,Quincy Ladies' Library Assoc.,Wn socy,1871,NA,1876,NA,1874,186,1875,250,NA,Quincy MI,-84.8838525,41.9442145
4111,8790,52548,MI,Raisin,Raisin Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Raisin MI,-83.9532571,41.9389947
4112,8791,52549,MI,Raisinville,Raisinville Township Library,Town,NA,1858,1860,NA,NA,0,NA,0,NA,Raisinville MI,-83.528342,41.9553452
4113,8792,52550,MI,Ransom,Ransom Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Ransom MI,-84.5341161,41.7753274
4114,8793,52551,MI,Ravenna,Ravenna Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Ravenna MI,-85.9369929,43.1894651
4115,8794,52552,MI,Ray,Ray Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Ray MI,-82.9013157,42.7616974
4116,8795,52553,MI,Reading,Reading Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Reading MI,-84.7480134,41.8394928
4117,8796,52554,MI,Redford,Redford Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Redford MI,-83.2973732,42.3944486
4118,8797,52555,MI,Richfield,Richfield Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Richfield MI,-84.4172666,44.3197591
4119,8798,52556,MI,Richland,Richland Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Richland MI,-85.4550054,42.3761504
4120,8799,52557,MI,Richmond,Richmond Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Richmond MI,-82.7557554,42.8091969
4121,8800,3513,MI,Ridgeway,Ridgeway Township Library,Town,1845,NA,1884,NA,NA,0,NA,0,Antebellum,Ridgeway MI,-83.8627184,41.9939334
4122,8801,3514,MI,Riga,Riga Township Library,Town,1847,NA,1884,NA,NA,0,NA,0,Antebellum,Riga MI,-83.8249404,41.8092159
4123,8803,52559,MI,Riley,Riley Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Riley MI,-82.806971,42.9477638
4124,8802,52558,MI,Riley,Riley Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Riley MI,-82.806971,42.9477638
4125,8804,52560,MI,Rives,Rives Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Rives MI,-84.4172666,42.3956724
4126,8805,52561,MI,Robinson,Robinson Township Library,Town,NA,1858,1858,NA,NA,0,NA,0,NA,Robinson MI,-86.0842136,42.986688
4127,4352,3515,MI,Rochester,Rochester Literary Society,Lit socy,1872,NA,1872,NA,NA,0,NA,0,NA,Rochester MI,-83.1338214,42.680588
4128,8130,3516,MI,Rockland,Rockland District Library,Public,1875,NA,1884,NA,NA,0,NA,0,NA,Rockland MI,-89.1795511,46.7380483
4129,6250,12313,MI,Rodney,Oakland College Library,Coll,NA,1873,1873,NA,NA,0,NA,0,NA,Rodney MI,-85.3296892,43.6727174
4130,8806,52562,MI,Rogers,Rogers Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Rogers MI,-83.8605137,45.4265077
4131,8807,52563,MI,Rollin,Rollin Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Rollin MI,-84.3239029,41.9112338
4132,8808,52564,MI,Rome,Rome Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Rome MI,-84.2067992,41.9520652
4133,8809,52565,MI,Romulus,Romulus Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Romulus MI,-83.3965994,42.2222614
4134,8810,52566,MI,Ronald,Ronald Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Ronald MI,-85.0025539,43.0852059
4135,8811,52567,MI,Rose,Rose Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Rose MI,-84.0801613,44.4534954
4136,8812,52568,MI,Ross,Ross Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA,Ross MI,-85.3756249,42.359786
4137,8813,52569,MI,Roxand,Roxand Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Roxand MI,-84.8776392,42.729993
4138,8814,3517,MI,Royal Oak,Royal Oak Township Library,Town,1856,NA,NA,1916,NA,0,NA,0,Antebellum,Royal Oak MI,-83.1446485,42.4894801
4139,8815,52570,MI,Royalton,Royalton Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Royalton MI,-86.4288534,42.0129
4140,8816,52571,MI,Rubicon,Rubicon Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA,Rubicon MI,-82.669947,43.9180906
4141,8817,52572,MI,Rush,Rush Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Rush MI,-84.2067992,43.0864176
4142,8818,52573,MI,Rutland,Rutland Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Rutland MI,-85.3756249,42.6340542
4143,8820,52575,MI,Saginaw,Saginaw Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Saginaw MI,-83.9508068,43.4194699
