"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","period","location","lon","lat"
"1",6001,3583,4781,"NY","Schenectady","YMCA","YMCA",1858,NA,1875,NA,1875,700,1875,700,"Antebellum","Schenectady NY",-73.9395687,42.8142432
"2",6002,3382,4775,"NY","Schenectady","Schenectady Lyceum and Acad.","Lyceum",NA,1858,1858,NA,1858,375,1858,375,NA,"Schenectady NY",-73.9395687,42.8142432
"3",6003,3584,4782,"NY","Schenectady","YMCA","YMCA",1867,NA,1884,NA,NA,0,NA,0,NA,"Schenectady NY",-73.9395687,42.8142432
"4",6004,5148,95264,"NY","Schenectady","Miller's Public Circulating Library","Comm",NA,1840,1840,NA,NA,0,NA,0,NA,"Schenectady NY",-73.9395687,42.8142432
"5",6005,6031,4778,"NY","Schenectady","Union College - Engineering School","Sci eng coll",1845,NA,1875,NA,1875,3000,1875,3000,"Antebellum","Schenectady NY",-73.9395687,42.8142432
"6",6006,5464,4777,"NY","Schenectady","Union College - Adelphic Society","Coll socy",1797,NA,1884,NA,1857,3550,1875,3000,"Early National","Schenectady NY",-73.9395687,42.8142432
"7",6007,6032,4776,"NY","Schenectady","Union College Library","Coll",1795,NA,1884,NA,1845,13000,1875,12000,"Early National","Schenectady NY",-73.9395687,42.8142432
"8",6008,7597,4774,"NY","Schenectady","Fourth Judicial District","Law state",1866,NA,1884,NA,1875,2500,1875,2500,NA,"Schenectady NY",-73.9395687,42.8142432
"9",6009,5463,4779,"NY","Schenectady","Union College - Philomathean Society","Coll socy",1793,NA,1884,NA,1857,3812,1875,3000,"Early National","Schenectady NY",-73.9395687,42.8142432
"10",6010,471,4780,"NY","Schnectady","Young Men's Assoc.","YMA",NA,1839,1858,NA,1850,3200,1858,3800,NA,"Schnectady NY",-73.9395687,42.8142432
"11",6011,7873,4783,"NY","Schoharie","Schoharie County Law Library","Co law",1840,NA,1884,NA,1875,445,1875,445,"Antebellum","Schoharie NY",-74.3095787,42.6659087
"12",6012,1347,4784,"NY","Scottsville","Scottsville Library","Socl",1839,NA,1840,NA,NA,0,NA,0,"Antebellum","Scottsville NY",-77.7452826,43.0258957
"13",6013,1348,4785,"NY","Seneca","Seneca Union Library","Socl",1806,NA,1806,NA,NA,0,NA,0,"Early National","Seneca NY",-76.8720961,42.7651891
"14",6014,1349,12615,"NY","Setauket","Franklinean Library Company of Setauket","Socl",1806,NA,1807,NA,NA,0,NA,0,"Early National","Setauket NY",-73.1025502,40.9293759
"15",6015,6772,4787,"NY","Sing Sing","Sing Sing State Prison","Prison",1842,NA,1884,NA,1875,3695,1875,3695,"Antebellum","Sing Sing NY",-76.8910257,42.1719586
"16",6016,4615,4786,"NY","Sing Sing","Sing Sing Agricultural and Mechanics Association","Agri socl",1867,NA,1867,NA,1867,240,1867,240,NA,"Sing Sing NY",-76.8910257,42.1719586
"17",6017,4616,4788,"NY","Skeneateles","Skeneateles Farmers' Club","Agri socl",1837,1859,1867,NA,1859,140,1867,200,"Antebellum","Skeneateles NY",-76.4291017,42.947011
"18",6018,8041,4789,"NY","Somers","Public Library","Public",NA,1850,1858,NA,1850,210,1858,210,NA,"Somers NY",-73.7360175,41.2996305
"19",6019,1350,4790,"NY","Somers","Somers Library","Socl",1875,NA,1884,NA,NA,0,NA,0,NA,"Somers NY",-73.7360175,41.2996305
"20",6020,4617,4791,"NY","Springfield","Union Agricultural Society","Agri socl",1858,1867,1867,NA,1867,75,1867,75,"Antebellum","Springfield NY",-74.8534838,42.836184
"21",6021,1351,4792,"NY","Springville","Assoc. Library","Socl",1874,NA,1875,NA,1875,2000,1875,2000,NA,"Springville NY",-78.6672482,42.5083952
"22",6022,1352,4793,"NY","Stamford","Judson Library","Socl",1871,NA,1884,NA,1875,1800,1875,1800,NA,"Stamford NY",-74.614318,42.4073024
"23",6023,6033,4794,"NY","Stanfordville","Christian Biblical Institute","Theo coll",1869,NA,1884,NA,NA,0,NA,0,NA,"Stanfordville NY",-73.7137984,41.8671647
