,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
8002,5297,12818,TX,New Braunfels,Lina Harms Circulating Library,Comm,NA,1857,1857,NA,NA,0,NA,0,NA
8003,1885,6460,TX,Nocogdoches,Histrionic and Literary Society,Socl,NA,1875,1875,NA,1875,1750,1875,1750,NA
8004,7741,12819,TX,Phantom Hill,Post on the Brazos Library,Garr,NA,1853,1853,NA,NA,0,NA,0,NA
8005,7752,6462,TX,Rio Grande,Ringgold Barracks Post Library,Garr,1842,NA,1884,NA,1875,456,1875,456,Antebellum
8006,6436,6463,TX,Rutersville,Texas Monumental and Military Institute,Mil acad,NA,1850,1857,NA,1850,100,1857,350,NA
8007,1886,6464,TX,San Antonio,Alamo Literary Society,Socl,1872,NA,1875,NA,1875,1700,1875,1700,NA
8008,3498,31039,TX,San Antonio,German Circulating Library,For lang socy,NA,1860,1860,NA,NA,0,NA,0,NA
8009,4270,12821,TX,San Antonio,San Antonio Mannergesang Verein,Music socy,NA,1853,1853,NA,NA,0,NA,0,NA
8010,5296,12820,TX,San Antonio,Julius Behrends Circulating Library,Comm,NA,1854,1855,NA,NA,0,NA,0,NA
8011,6435,6465,TX,Sherman,Austin College,Coll,1850,NA,1884,NA,NA,0,NA,0,Antebellum
8012,4272,12822,TX,Sisterdale,Gesangverein,Music socy,NA,1853,1855,NA,NA,0,NA,0,NA
8013,5713,6467,TX,Tehuacana,Trinity University - Philomathean Society,Coll socy,1874,NA,1875,NA,1875,400,1875,400,NA
8014,5712,6469,TX,Tehuacana,Trinity University - Rateo Genie Society,Coll socy,1872,NA,1884,NA,1875,600,1875,600,NA
8015,6434,6466,TX,Tehuacana,Trinity University,Coll,1869,NA,1884,NA,1875,2000,1875,2000,NA
8016,5711,6468,TX,tehuacana,Trinity University - Philodophronian Society,Coll socy,1870,NA,1884,NA,1875,900,1875,900,NA
8017,1887,6470,TX,Tyler,Bowdoin Literary Society,Socl,1871,NA,1875,NA,1875,11257,1875,11257,NA
8018,3330,31040,TX,Tyler,Athenaeum,Athen,NA,1860,1860,NA,1860,2200,1860,2200,NA
8019,7620,6471,TX,Tyler,Supreme Court,Law state,1854,NA,1875,NA,1875,3000,1875,3000,Antebellum
8020,6433,6472,TX,Waco,Waco University,Coll,1861,NA,1875,NA,1870,650,1875,2000,NA
8021,6432,6473,TX,Waxahachie,Marirn? College,Coll,1871,NA,1884,NA,NA,0,NA,0,NA
8022,2446,12823,UT,Alpine City,Alpine City Library Assoc.,Socl,1866,NA,1866,NA,NA,0,NA,0,NA
8023,2447,12824,UT,American Fork,American Fork Library Assoc.,Socl,1865,NA,1865,NA,NA,0,NA,0,NA
8024,4806,6474,UT,American Fork,American Fork Agricultural Society,Agri socl,1858,1867,1867,NA,1867,300,1867,300,Antebellum
8025,4807,6475,UT,American Fork,American Fork Gerdeners' Club and Mechanics Institute,Agri socl,1864,1864,1867,NA,1867,251,1867,251,NA
8026,7717,12825,UT,Beaver,Post of Beaver,Garr,NA,1875,1875,NA,NA,0,NA,0,NA
8027,2448,12826,UT,Beaver City,Beaver City Library Assoc.,Socl,1867,NA,1867,NA,NA,0,NA,0,NA
8028,4808,6476,UT,Cedar City,Cedar City Agricultural and Manufacturing Society,Agri socl,1862,1867,1867,NA,1867,20,1867,20,NA
8029,2449,12827,UT,Coalville,Coalville Library Assoc. Inc.,Socl,1867,NA,1867,NA,NA,0,NA,0,NA
8030,2450,12828,UT,Desaret City,Desaret City Library Assoc. Inc.,Socl,1866,NA,1866,NA,NA,0,NA,0,NA
8031,4809,6477,UT,Ephraim,Ephraim Braneh of San Pete Agricultural and Horicultural Society,Agri socl,1859,1867,1867,NA,1867,124,1867,124,Antebellum
8032,2451,12829,UT,Fillmore,Fillmore Library Assoc.,Socl,NA,1862,1867,NA,NA,0,NA,0,NA
8033,4810,6479,UT,Gardnersville,Gardnersville Gardeners' Club,Agri socl,1867,NA,1867,NA,1867,344,1867,344,NA
8034,4811,6480,UT,Gunnison,Gunnison Farmers' Gerdeners' and Foresters Club,Agri socl,1867,NA,1867,NA,1867,344,1867,344,NA
8035,4812,6481,UT,Harrisburg,Harrisburg Horicultural Society,Agri socl,1866,1867,1867,NA,1867,35,1867,35,NA
8036,2452,12830,UT,Lehi,Lehi Library Assoc.,Socl,1862,NA,1865,NA,NA,0,NA,0,NA
8037,2453,12831,UT,Logan,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA
8038,2454,12832,UT,Manti,,Socl,NA,1862,1867,NA,NA,0,NA,0,NA
8039,4813,6482,UT,Minersville,Minersville Agricultural Society,Agri socl,1867,NA,1867,NA,1867,71,1867,71,NA
8040,2455,12833,UT,Moroni,Moroni City Library,Socl,1866,NA,1866,NA,NA,0,NA,0,NA
8041,4814,6483,UT,Moroni,Moroni Farmers' and Gardeners' Club,Agri socl,1864,1867,1867,NA,1867,12,1867,12,NA
8042,4815,6484,UT,Mount Pleasant,"San Pete, Branch of Desert, Agricultural Society",Agri socl,1858,NA,1867,NA,1867,260,1867,260,Antebellum
8043,2456,12835,UT,Nephi,Nephi Library and R. R. Inc.,Socl,NA,1862,1864,NA,NA,0,NA,0,NA
8044,4357,12834,UT,Nephi,Mt. Nebo Literary Assoc.,Lit socy,1853,NA,1853,NA,NA,0,NA,0,Antebellum
8045,2457,12836,UT,Ogden City,"Ogden Lity, Debating, and Library Instn.",Socl,1864,NA,1869,NA,NA,0,NA,0,NA
8046,2458,12837,UT,Parowan,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA
8047,2459,12838,UT,Payson,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA
8048,2460,12839,UT,Provo,,Socl,NA,1854,1854,NA,1854,120,1854,120,NA
8049,2461,12840,UT,Provo,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA
8050,2462,12841,UT,Provo,Provo Library and Reading Room Assoc.,Socl,1867,NA,1872,NA,NA,0,NA,0,NA
