"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","location","lon","lat","period"
"1",1,7093,2,"AK","Eufaula","Eufaula Law Library","Law",NA,1858,1859,NA,NA,0,NA,0,"Eufaula AK",-95.5824846,35.2873206,NA
"2",2,5386,29,"AK","Libbysville","Rodger's Arctic Library","Comm",1866,NA,1867,NA,1867,50,1867,50,"Libbysville AK",-157.0530556,58.7777778,NA
"3",3,2560,28,"AK","Sitka","""A Russian Library""","Socl",1806,NA,NA,1867,1825,1200,1867,2000,"Sitka AK",-135.33,57.0530556,"Early National"
"4",4,7731,30,"AK","Sitka","Post Library","Garr",1868,NA,1875,NA,1875,596,1875,596,"Sitka AK",-135.33,57.0530556,NA
"5",5,6232,1,"AL","Auburn","Agri. and Mech. College of Alabama","Agri coll",1873,NA,1884,NA,1875,1720,1875,1720,"Auburn AL",-85.4807825,32.6098566,NA
"6",6,4412,12001,"AL","Birmingham","Jefferson County Medical Assoc. Library","Med socy",1859,NA,1957,NA,NA,0,NA,0,"Birmingham AL",-86.80249,33.5206608,"Antebellum"
"7",7,6240,3,"AL","Florence","Wesleyan College","Coll",1830,NA,1859,NA,1858,2000,1858,2000,"Florence AL",-87.677251,34.79981,"Antebellum"
"8",8,1846,4,"AL","Gainesville","Gainesville Book Club","Socl",NA,1875,1884,NA,1875,700,1875,700,"Gainesville AL",-88.158914,32.8209639,NA
"9",9,6239,5,"AL","Greensboro","Southern University","Coll",1859,NA,1884,NA,1875,2000,1875,2000,"Greensboro AL",-87.5958396,32.7045753,"Antebellum"
"10",10,5702,7,"AL","Greensboro","Southern University - Clariosophic Society","Coll socy",1859,NA,1875,NA,NA,0,NA,0,"Greensboro AL",-87.5958396,32.7045753,"Antebellum"
"11",11,5703,6,"AL","Greensboro","Southern University - Belles Lettres","Coll socy",NA,1875,NA,1899,NA,0,NA,0,"Greensboro AL",-87.5958396,32.7045753,NA
"12",12,1847,12002,"AL","Huntsville","Huntsville Library","Socl",NA,1818,1822,NA,NA,0,NA,0,"Huntsville AL",-86.5861037,34.7303688,NA
"13",13,7656,12003,"AL","Huntsville","Thomas Barracks","Garr",NA,1875,1875,NA,1875,100,1875,100,"Huntsville AL",-86.5861037,34.7303688,NA
"14",14,6238,8,"AL","La Grange","La Grange College","Coll",NA,1845,1859,NA,1845,2200,1858,5529,"La Grange AL",-85.0322444,33.0362218,NA
"15",15,5698,95115,"AL","La Grange","La Grange College Lafayette Society","Coll socy",NA,1844,1844,NA,NA,0,NA,0,"La Grange AL",-85.0322444,33.0362218,NA
"16",16,6233,10,"AL","Marion","Howard Theological Institute","Theo coll",1845,NA,1870,NA,1858,1000,1870,2500,"Marion AL",-87.3191655,32.6323536,"Antebellum"
"17",17,6237,9,"AL","Marion","Howard College","Coll",1841,NA,1884,NA,1850,1500,1875,1000,"Marion AL",-87.3191655,32.6323536,"Antebellum"
"18",18,3662,15,"AL","Mobile","YMCA","YMCA",1856,NA,1859,NA,1859,300,1859,300,"Mobile AL",-88.0398912,30.6953657,"Antebellum"
"19",19,1848,12,"AL","Mobile","Franklin Society Reading Room and Library","Socl",1835,NA,1875,NA,1850,1454,1875,3670,"Mobile AL",-88.0398912,30.6953657,"Antebellum"
"20",20,6236,19,"AL","Mobile","Spring Hill College","Coll",1829,NA,1884,NA,1845,4000,1875,5000,"Mobile AL",-88.0398912,30.6953657,"Antebellum"
"21",21,7094,13,"AL","Mobile","Mobile Law Library","Law",1869,NA,1875,NA,1875,3000,1875,3000,"Mobile AL",-88.0398912,30.6953657,NA
"22",22,6241,14,"AL","Mobile","Medical College of Alabama","Med coll",1860,NA,1884,NA,1875,500,1875,500,"Mobile AL",-88.0398912,30.6953657,"Antebellum"
"23",23,4371,11,"AL","Mobile","Mobile Bar Library","Bar",1872,NA,1884,NA,NA,0,NA,0,"Mobile AL",-88.0398912,30.6953657,NA
"24",24,7796,16,"AL","Montgomery","Alabama State Library","State",1828,NA,1884,NA,1875,14000,1875,14000,"Montgomery AL",-86.2999689,32.3668052,"Early National"
